segment_type,segment_key,unit_grain,eligible_units,late_units,late_rate,seller_handling_eligible,avg_seller_handling_days,median_seller_handling_days,carrier_transit_eligible,avg_carrier_transit_days,median_carrier_transit_days,avg_promised_window_days,median_promised_window_days,avg_purchase_to_delivery_days,gmv,late_gmv,n_sellers,is_low_sample
customer_state,PI,order,468,66,0.14102564102564102,461,2.8009897214188157,1.8843981481481482,465,16.35425751692553,13.473622685185186,30.39957264957265,30.0,19.506117442228554,85453.23,11414.94,,False
customer_state,PB,order,514,54,0.10505836575875487,506,2.986897530559215,2.055653935185185,514,16.919918463575442,14.134056712962963,33.5136186770428,33.0,20.428974883808905,114808.38,9223.94,,False
customer_state,MT,order,876,53,0.06050228310502283,861,2.6540715334236675,1.7975347222222222,873,14.959545986063382,13.231840277777778,32.22945205479452,32.0,18.091430917575682,154149.1,8460.16,,False
customer_state,SE,order,328,51,0.15548780487804878,326,3.034780802658487,1.8737210648148146,327,18.135740068241024,14.259155092592593,31.045731707317074,30.0,21.53846241248871,58371.6,10276.37,,False
customer_state,RN,order,465,44,0.09462365591397849,458,3.0723328835112405,1.9963136574074074,465,15.82440571485464,13.142615740740741,32.44731182795699,32.0,19.306814441457586,81181.42,7503.09,,False
customer_state,TO,order,272,27,0.09926470588235294,268,2.924943382048093,2.0479166666666666,271,14.298357933579336,13.119050925925926,29.580882352941178,29.0,17.689958299291938,48991.85,5592.68,,False
customer_state,RO,order,240,7,0.029166666666666667,239,2.2960120292887027,1.575949074074074,240,16.427848234953704,15.090387731481481,39.3,38.0,19.257750482253087,45458.45,938.79,,False
customer_state,RR,order,40,5,0.125,39,3.416929012345679,2.018761574074074,40,26.210280092592594,22.90719328703704,46.125,45.0,29.90765798611111,7716.84,1288.89,,True
customer_state,AM,order,145,4,0.027586206896551724,144,2.5177858957047325,1.8666030092592591,145,23.519522749042146,23.040613425925926,45.92413793103448,46.0,26.42599090038314,22356.84,676.78,,False
customer_state,AC,order,78,3,0.038461538461538464,75,2.9580966049382718,2.2526041666666665,78,17.565888235992404,15.052644675925926,41.53846153846154,41.0,21.040852475071226,15393.35,1524.99,,True
customer_state,AP,order,67,2,0.029850746268656716,67,2.8820567302377005,2.012349537037037,67,23.663523700939745,21.002708333333334,46.865671641791046,48.0,27.185067716970703,13474.3,270.8,,True
product_category,bed_bath_table,seller_order_category,9433,692,0.07335948266723205,9284,2.7884644467482884,1.8994328703703705,9412,9.797837014361098,7.297604166666666,24.251245627053958,24.0,12.914049251102316,1032549.53,79035.21,195.0,False
product_category,health_beauty,seller_order_category,8558,646,0.07548492638466932,8408,2.619667128363199,1.7173958333333332,8540,9.029122883055772,6.938391203703704,23.71301706006076,24.0,12.020555926120675,1241432.54,93928.62,485.0,False
product_category,sports_leisure,seller_order_category,7506,492,0.06554756195043965,7424,2.3616104909377995,1.5082349537037036,7494,9.474390412020975,7.1676215277777775,23.861862261888902,24.0,12.18982032738007,974997.71,70108.37,477.0,False
product_category,furniture_decor,seller_order_category,6204,444,0.07156673114119923,6131,3.2133555489105157,2.1481712962962964,6184,9.354074884483854,7.062824074074074,24.783204384268213,24.0,12.976044789651837,710360.4,57988.45,353.0,False
product_category,computers_accessories,seller_order_category,6566,415,0.06320438623210478,6480,3.1422787726480337,1.9468460648148147,6554,9.593488820440443,7.287118055555556,25.415562661793818,25.0,13.143956933727056,906630.86,61348.42,283.0,False
product_category,watches_gifts,seller_order_category,5514,406,0.07363075807036634,5418,2.5173025037426684,1.6831307870370371,5503,9.908240263307556,7.272569444444445,24.507795503988397,24.0,12.776210911786832,1193558.92,89999.05,101.0,False
product_category,housewares,seller_order_category,5761,307,0.05328935948620031,5652,2.69176721080378,1.7366435185185185,5745,8.022141016342713,6.212280092592593,23.037667071688944,23.0,11.03760674828187,628134.01,38401.41,463.0,False
product_category,telephony,seller_order_category,4094,291,0.07107962872496336,4042,3.0343445672292777,2.3155613425925923,4089,9.464631129815313,7.151840277777778,24.04543234000977,24.0,12.954444879815087,320162.09,25321.16,146.0,False
product_category,auto,seller_order_category,3798,279,0.07345971563981042,3738,2.4924753903850347,1.5477083333333332,3780,9.431913307735647,7.068304398148149,23.29507765201369,23.0,12.292988811118912,585668.33,66549.23,375.0,False
product_category,toys,seller_order_category,3755,243,0.06471371504660453,3703,2.4233971048249168,1.5194212962962963,3748,8.942844356496304,7.011834490740741,23.33439829605964,23.0,11.677450112812545,474667.42,31606.1,249.0,False
product_category,baby,seller_order_category,2788,225,0.08070301291248207,2749,2.9587374491397544,1.7333796296296295,2784,9.327253980250905,7.103686342592592,23.851147776183645,23.0,12.638611434919497,403736.86,37816.22,238.0,False
product_category,garden_tools,seller_order_category,3410,225,0.06598240469208211,3364,2.6641394792905273,2.0772511574074075,3401,10.568082845323271,8.135543981481481,25.25659824046921,25.0,13.661335906104052,475743.83,30479.21,232.0,False
product_category,cool_stuff,seller_order_category,3526,210,0.05955757231990925,3485,2.4617572034911523,1.6418171296296296,3522,9.519310077397101,7.299247685185184,24.557288712422007,24.0,12.369926872597214,626394.98,39269.48,260.0,False
product_category,perfumery,seller_order_category,3048,202,0.0662729658792651,3003,2.5341867199158865,1.6994444444444443,3048,8.967254787595994,6.928923611111111,23.798228346456693,23.0,11.834829730485078,388323.57,26807.64,174.0,False
product_category,electronics,seller_order_category,2512,192,0.07643312101910828,2483,2.3195288610700913,1.6219212962962963,2507,10.197501934398499,8.033530092592592,23.7921974522293,24.0,12.895881306764567,158322.75,15156.08,147.0,False
product_category,stationery,seller_order_category,2267,148,0.06528451698279665,2235,2.7375570676940923,2.052465277777778,2260,9.699452561660111,7.089484953703703,24.73003970004411,24.0,12.74608336805045,229381.24,15208.86,172.0,False
product_category,fashion_bags_accessories,seller_order_category,1814,101,0.05567805953693495,1792,2.1725490670986276,1.3000578703703702,1811,8.537019500173836,6.8415625,24.005512679162074,23.0,11.092084513710237,150632.37,8290.75,97.0,False
product_category,office_furniture,seller_order_category,1244,101,0.08118971061093247,1239,9.882918348130213,9.640520833333333,1243,10.200719836640744,7.085081018518519,32.26607717041801,31.0,20.580186441214124,271215.47,21751.17,33.0,False
product_category,unknown,seller_order_category,1380,101,0.07318840579710145,1370,3.206663997026223,2.1213252314814817,1378,9.163989292721604,7.0583680555555555,23.92391304347826,24.0,12.737595729334407,177766.75,14131.92,257.0,False
