seller_id,delivery_eligible_seller_orders,late_seller_orders,seller_late_rate,seller_late_contribution,seller_gmv,seller_late_gmv,is_low_sample
9f505651f4a6abe901a56cdc21508025,393,16,0.04071246819338423,0.0024438674201924544,26361.82,938.89,False
7040e82f899a04d1b434b795a43b4617,208,16,0.07692307692307693,0.0024438674201924544,9738.2,857.4,False
fa40cc5b934574b62717c68f3d678b6d,304,16,0.05263157894736842,0.0024438674201924544,16055.87,807.95,False
92eb0f42c21942b6552362b9b114707d,334,16,0.04790419161676647,0.0024438674201924544,6548.63,326.55,False
7d76b645482be4a332374e8223836592,172,16,0.09302325581395349,0.0024438674201924544,3843.93,309.75,False
7e93a43ef30c4f03f38b393420bc753a,319,15,0.047021943573667714,0.002291125706430426,176431.87,8735.23,False
522620dcb18a6b31cd7bdf73665113a9,172,15,0.0872093023255814,0.002291125706430426,57168.49,6390.65,False
1554a68530182680ad5c8b042c3ab563,246,15,0.06097560975609756,0.002291125706430426,29052.53,1854.29,False
dd7ddc04e1b6c2c614352b383efe2d36,121,15,0.12396694214876033,0.002291125706430426,9178.51,1585.58,False
dc4a0fc896dc34b0d5bfec8438291c80,225,15,0.06666666666666667,0.002291125706430426,24180.77,1574.34,False
beadbee30901a7f61d031b6b686095ad,64,15,0.234375,0.002291125706430426,4373.98,1281.0,False
54a1852d1b8f10312c55e906355666ee,198,15,0.07575757575757576,0.002291125706430426,17226.44,1268.76,False
8b28d096634035667e8263d57ba3368c,139,15,0.1079136690647482,0.002291125706430426,9375.7,1084.56,False
59b22a78efb79a4797979612b885db36,125,14,0.112,0.0021383839926683978,27184.5,4049.0,False
7299e27ed73d2ad986de7f7c77d919fa,335,14,0.041791044776119404,0.0021383839926683978,34725.43,2017.89,False
c70c1b0d8ca86052f45a432a38b73958,260,14,0.05384615384615385,0.0021383839926683978,36537.37,1844.8,False
cfb1a033743668a192316f3c6d1d2671,143,14,0.0979020979020979,0.0021383839926683978,12803.64,1773.3,False
4d6d651bd7684af3fffabd5f08d12e5a,363,14,0.03856749311294766,0.0021383839926683978,43587.4,1690.7,False
d1c281d3ae149232351cd8c8cc885f0d,214,14,0.06542056074766354,0.0021383839926683978,26942.6,1363.85,False
c31eff8334d6b3047ed34bebd4d62c36,120,14,0.11666666666666667,0.0021383839926683978,13191.5,1348.6,False
f262cbc1c910c83959f849465454ddd3,189,14,0.07407407407407407,0.0021383839926683978,10482.83,683.83,False
ede0c03645598cdfc63ca8237acbe73d,43,14,0.32558139534883723,0.0021383839926683978,2518.37,616.15,False
d20b021d3efdf267a402c402a48ea64b,86,14,0.16279069767441862,0.0021383839926683978,4140.17,582.72,False
9c0e69c7bf2619675bbadf47b43f655a,151,13,0.08609271523178808,0.0019856422789063695,33702.78,2664.48,False
