segment_type,segment_key,segment_sort,eligible_orders,late_orders,late_delivery_rate,reviewed_orders,without_usable_review,review_coverage,negative_review_orders,negative_review_rate,avg_review_score,early_reviewed_orders,early_negative_review_orders,early_negative_review_rate,on_time_reviewed_orders,late_reviewed_orders,late_negative_review_orders,late_negative_review_rate,gmv,multi_category_orders,is_low_sample
customer_state,PA,0,946,106,0.11205073995771671,915,31,0.96723044397463,163,0.17814207650273223,3.919125683060109,806,90,0.11166253101736973,11,98,72,0.7346938775510204,174470.59,5,False
customer_state,MA,0,717,125,0.17433751743375175,700,17,0.9762900976290098,142,0.20285714285714285,3.817142857142857,564,62,0.1099290780141844,14,122,79,0.6475409836065574,117009.38,4,False
customer_state,MT,0,886,53,0.05981941309255079,872,14,0.9841986455981941,110,0.12614678899082568,4.14908256880734,814,82,0.10073710073710074,7,51,27,0.5294117647058824,152191.62,8,False
customer_state,MS,0,701,68,0.09700427960057062,689,12,0.9828815977175464,93,0.13497822931785197,4.149492017416546,608,51,0.08388157894736842,13,68,41,0.6029411764705882,115429.97,3,False
customer_state,AL,0,397,85,0.2141057934508816,392,5,0.9874055415617129,82,0.20918367346938777,3.864795918367347,301,27,0.08970099667774087,10,81,54,0.6666666666666666,78855.72,0,False
customer_state,PB,0,517,54,0.10444874274661509,508,9,0.9825918762088974,76,0.14960629921259844,4.068897637795276,453,44,0.09713024282560706,3,52,32,0.6153846153846154,112586.82,1,False
customer_state,PI,0,476,66,0.13865546218487396,467,9,0.9810924369747899,76,0.16274089935760172,3.9850107066381155,394,33,0.08375634517766498,10,63,41,0.6507936507936508,84721.0,3,False
customer_state,SE,0,335,51,0.15223880597014924,329,6,0.982089552238806,63,0.19148936170212766,3.896656534954407,279,29,0.1039426523297491,0,50,34,0.68,56574.19,1,False
customer_state,RN,0,474,44,0.09282700421940929,467,7,0.9852320675105485,61,0.13062098501070663,4.143468950749464,417,28,0.0671462829736211,7,43,32,0.7441860465116279,82105.66,3,False
customer_state,TO,0,274,27,0.09854014598540146,269,5,0.9817518248175182,31,0.11524163568773234,4.171003717472119,234,18,0.07692307692307693,8,27,12,0.4444444444444444,48402.51,1,False
customer_state,RO,0,243,7,0.02880658436213992,236,7,0.9711934156378601,29,0.1228813559322034,4.177966101694915,229,25,0.1091703056768559,0,7,4,0.5714285714285714,45682.76,2,False
customer_state,AM,0,145,4,0.027586206896551724,142,3,0.9793103448275862,19,0.13380281690140844,4.232394366197183,136,16,0.11764705882352941,2,4,3,0.75,22155.84,0,False
customer_state,AC,0,80,3,0.0375,78,2,0.975,10,0.1282051282051282,4.141025641025641,75,8,0.10666666666666667,0,3,2,0.6666666666666666,15930.97,1,True
customer_state,RR,0,41,5,0.12195121951219512,41,0,1.0,6,0.14634146341463414,3.902439024390244,36,2,0.05555555555555555,0,5,4,0.8,7057.47,0,True
customer_state,AP,0,67,2,0.029850746268656716,66,1,0.9850746268656716,4,0.06060606060606061,4.242424242424242,63,4,0.06349206349206349,1,2,0,0.0,13374.81,0,True
gmv_band,100_199,3,25307,1806,0.07136365432489035,24912,395,0.9843916702888529,3319,0.13322896596017983,4.142702312138728,22856,2176,0.0952047602380119,318,1738,1103,0.6346375143843498,3636107.07,305,False
gmv_band,50_99,2,27726,1847,0.06661617254562505,27177,549,0.9801990911058213,3313,0.12190455164293336,4.172480406225853,25043,2180,0.08705027352952921,351,1783,1094,0.6135726303982053,2091912.98,155,False
gmv_band,lt_50,1,28790,1731,0.06012504341785342,28286,504,0.9824939215005211,3088,0.109170614438238,4.22076292158665,26190,2017,0.07701412752959144,414,1682,1018,0.6052318668252081,916545.81,55,False
gmv_band,200_plus,4,14647,1150,0.07851437154366082,14399,248,0.9830682050931931,2312,0.16056670602125148,4.047433849572887,13114,1572,0.11987189263382644,181,1104,717,0.6494565217391305,6575683.07,265,False
product_category,bed_bath_table,0,9206,687,0.07462524440582229,8919,287,0.9688246795568107,1389,0.15573494786411032,4.014911985648616,8157,964,0.11818070369008214,119,643,414,0.6438569206842923,1029620.27,137,False
product_category,health_beauty,0,8614,649,0.07534246575342465,8472,142,0.9835152078012538,958,0.11307837582625117,4.234301227573182,7720,566,0.0733160621761658,123,629,383,0.6089030206677265,1234056.51,38,False
product_category,computers_accessories,0,6512,417,0.06403562653562654,6381,131,0.9798832923832924,909,0.14245416078984485,4.091991850807084,5899,652,0.11052720800135617,84,398,243,0.6105527638190955,890002.45,34,False
product_category,furniture_decor,0,6190,448,0.07237479806138934,6020,170,0.9725363489499192,882,0.14651162790697675,4.0893687707641195,5507,603,0.1094970038133285,83,430,263,0.6116279069767442,709770.47,87,False
product_category,sports_leisure,0,7491,494,0.06594580162862101,7340,151,0.9798424776398345,819,0.11158038147138964,4.236444141689374,6774,500,0.07381163271331562,85,481,313,0.6507276507276507,954214.99,34,False
product_category,watches_gifts,0,5475,406,0.07415525114155251,5414,61,0.9888584474885844,736,0.13594384927964537,4.124676763945327,4958,477,0.09620814844695441,61,395,247,0.6253164556962025,1166619.18,22,False
product_category,housewares,0,5680,308,0.054225352112676053,5609,71,0.9875,640,0.11410233553218042,4.208504189695133,5219,445,0.08526537650890975,90,300,186,0.62,615111.33,53,False
product_category,telephony,0,4073,291,0.07144610851951878,4039,34,0.9916523447090596,560,0.1386481802426343,4.061648923000742,3695,394,0.10663058186738836,57,287,160,0.5574912891986062,309502.39,7,False
product_category,auto,0,3791,278,0.07333157478237932,3750,41,0.9891849116328145,478,0.12746666666666667,4.1544,3430,310,0.09037900874635568,49,271,164,0.6051660516605166,579078.13,18,False
product_category,toys,0,3788,243,0.06414994720168955,3729,59,0.9844244984160507,418,0.11209439528023599,4.244167337087691,3460,260,0.07514450867052024,43,226,152,0.672566371681416,472059.95,36,False
product_category,garden_tools,0,3407,225,0.06604050484297036,3373,34,0.99002054593484,398,0.11799584939223244,4.197153868959384,3105,250,0.08051529790660225,48,220,138,0.6272727272727273,469302.36,30,False
product_category,cool_stuff,0,3528,209,0.05924036281179138,3489,39,0.9889455782312925,378,0.10834049871023216,4.233161364287762,3254,246,0.07559926244622003,31,204,129,0.6323529411764706,609986.77,36,False
product_category,baby,0,2757,224,0.08124773304316286,2720,37,0.9865796155241204,374,0.1375,4.122426470588235,2474,225,0.09094583670169766,31,215,146,0.6790697674418604,400469.13,41,False
product_category,perfumery,0,3070,202,0.06579804560260587,3044,26,0.9915309446254071,351,0.11530880420499343,4.268725361366623,2819,223,0.07910606598084427,26,199,127,0.6381909547738693,389510.63,11,False
product_category,electronics,0,2503,192,0.07670795045944866,2476,27,0.98921294446664,319,0.12883683360258483,4.135702746365105,2232,199,0.08915770609318996,54,190,114,0.6,155368.72,9,False
product_category,office_furniture,0,1251,101,0.08073541167066348,1227,24,0.9808153477218226,268,0.21841890790546048,3.65158924205379,1116,206,0.18458781362007168,13,98,61,0.6224489795918368,268979.97,12,False
product_category,unknown,0,1353,97,0.07169253510716925,1331,22,0.983739837398374,219,0.16453794139744554,4.041322314049586,1213,148,0.12201154163231658,23,95,66,0.6947368421052632,169099.68,21,False
product_category,stationery,0,2243,148,0.06598305840392332,2216,27,0.9879625501560411,212,0.09566787003610108,4.30956678700361,2044,119,0.05821917808219178,27,145,90,0.6206896551724138,223629.06,12,False
product_category,fashion_bags_accessories,0,1811,101,0.05577029265599116,1764,47,0.9740474875759249,175,0.0992063492063492,4.254251700680272,1647,111,0.06739526411657559,18,99,61,0.6161616161616161,149303.29,10,False
product_category,pet_shop,0,1681,85,0.05056513979773944,1666,15,0.991076740035693,175,0.10504201680672269,4.278511404561825,1563,123,0.07869481765834933,20,83,50,0.6024096385542169,211725.38,8,False
product_category,consoles_games,0,1013,62,0.06120434353405726,1001,12,0.9881539980256664,109,0.1088911088911089,4.187312687312687,921,70,0.07600434310532031,21,59,36,0.6101694915254238,148115.45,3,False
product_category,construction_tools_construction,0,727,54,0.07427785419532325,717,10,0.9862448418156808,90,0.12552301255230125,4.154811715481172,655,58,0.08854961832061069,13,49,32,0.6530612244897959,142377.81,8,False
product_category,luggage_accessories,0,1014,43,0.04240631163708087,1008,6,0.9940828402366864,82,0.08134920634920635,4.371031746031746,954,55,0.057651991614255764,12,42,26,0.6190476190476191,138918.18,10,False
product_category,home_construction,0,470,29,0.06170212765957447,464,6,0.9872340425531915,74,0.15948275862068967,4.032327586206897,426,56,0.13145539906103287,9,29,16,0.5517241379310345,81503.78,13,False
product_category,audio,0,344,41,0.11918604651162791,341,3,0.9912790697674418,73,0.21407624633431085,3.8475073313782993,297,42,0.1414141414141414,4,40,31,0.775,49981.61,2,False
product_category,home_appliances,0,747,33,0.04417670682730924,667,80,0.892904953145917,70,0.10494752623688156,4.22863568215892,621,49,0.07890499194847021,15,31,18,0.5806451612903226,78832.48,0,False
